date,visit_count,visit_7day_mean,baseline,baseline_lowerbound,baseline_upperbound,ed_count
2022-10-01,3210,3311.25714285714,3917.70434148988,3303.81933094536,4531.5893520344,37
2022-10-02,3243,3357.02380952381,3915.53304974142,3301.82043363062,4529.24566585223,37
2022-10-03,3242,3300.14285714286,3913.35829041047,3299.81835859044,4526.89822223051,37
2022-10-04,3767,3368.0,3911.18082194625,3297.8138040355,4524.54783985699,37
2022-10-05,3493,3406.42857142857,3909.0014022909,3295.80746765448,4522.19533692733,37
2022-10-06,3528,3432.85714285714,3906.82078864912,3293.80004640148,4519.84153089675,37
2022-10-07,3568,3435.85714285714,3904.63973725951,3291.79223628527,4517.48723823376,37
2022-10-08,3216,3436.71428571429,3902.45900316813,3289.78473216047,4515.1332741758,37
2022-10-09,3066,3411.42857142857,3900.27934000396,3287.77822752073,4512.7804524872,37
2022-10-10,3787,3489.28571428571,3898.10149975658,3285.77341429392,4510.42958521923,37
2022-10-11,3195,3407.57142857143,3895.92623255596,3283.77098263946,4508.08148247247,37
2022-10-12,3123,3354.71428571429,3893.75428645462,3281.77162074773,4505.73695216151,37
2022-10-13,3118,3296.14285714286,3891.58640721192,3279.77601464177,4503.39679978207,37
2022-10-14,3389,3270.57142857143,3889.42333808087,3277.78484798118,4501.06182818057,37
2022-10-15,3222,3271.42857142857,3887.26581959723,3275.79880186827,4498.73283732619,37
2022-10-16,3075,3272.71428571429,3885.1145893711,3273.81855465669,4496.41062408551,37
2022-10-17,3689,3258.71428571429,3882.97038188102,3271.84478176226,4494.09598199978,37
2022-10-18,3381,3285.28571428571,3880.8339282706,3269.87815547638,4491.78970106482,37
2022-10-19,3259,3304.71428571429,3878.70595614771,3267.91934478177,4489.49256751364,37
2022-10-20,3257,3324.57142857143,3876.58718938629,3265.96901517078,4487.2053636018,37
2022-10-21,3286,3309.85714285714,3874.47834793084,3264.02782846614,4484.92886739553,37
2022-10-22,3092,3291.28571428571,3872.38014760356,3262.09644264438,4482.66385256274,37
2022-10-23,2983,3278.14285714286,3870.29329991419,3260.17551166163,4480.41108816674,37
2022-10-24,3428,3240.85714285714,3868.21851187264,3258.26568528224,4478.17133846303,37
2022-10-25,3237,3220.28571428571,3866.15648580431,3256.3676089098,4475.94536269882,37
2022-10-26,3131,3202.0,3864.10791916826,3254.48192342096,4473.73391491557,37
2022-10-27,3280,3205.28571428571,3862.07350437815,3252.6092650018,4471.53774375451,37
2022-10-28,3537,3241.14285714286,3860.05392862599,3250.75026498692,4469.35759226506,37
2022-10-29,3249,3263.57142857143,3858.04987370875,3248.90554970118,4467.19419771632,37
2022-10-30,3144,3286.57142857143,3856.06201585782,3247.07574030413,4465.04829141152,37
2022-10-31,3364,3277.42857142857,3854.09102557131,3245.26145263714,4462.92059850548,37
2022-11-01,3175,3268.57142857143,3852.13756744922,3243.46329707325,4460.81183782519,37
2022-11-02,3254,3286.14285714286,3850.20230003151,3241.68187836969,4458.72272169333,37
2022-11-03,3120,3263.28571428571,3848.28587563901,3239.91779552312,4456.6539557549,37
2022-11-04,3225,3218.71428571429,3846.38894021726,3238.1716416276,4454.60623880691,37
2022-11-05,2880,3166.0,3844.51213318316,3236.44400373523,4452.58026263109,37
2022-11-06,2780,3114.0,3842.65608727459,3234.73546271951,4450.57671182968,37
2022-11-07,3396,3118.57142857143,3840.82142840283,3233.04659314141,4448.59626366426,37
2022-11-08,3132,3112.42857142857,3839.00877550789,3231.37796311809,4446.6395878977,37
2022-11-09,3163,3099.42857142857,3837.21874041671,3229.73013419438,4444.70734663904,37
2022-11-10,3233,3115.57142857143,3835.45192770416,3228.10366121679,4442.80019419153,37
2022-11-11,3393,3139.57142857143,3833.70893455702,3226.49909221039,4440.91877690366,37
2022-11-12,3129,3175.14285714286,3831.99035064063,3224.91696825809,4439.06373302318,37
2022-11-13,2979,3203.57142857143,3830.29675796847,3223.35782338276,4437.23569255418,37
