date,syndrome,visit_count,visit_7day_mean,baseline,baseline_lowerbound,baseline_upperbound,ed_count
2023-01-18,SARI,27,32.1428571428571,71.3615508168962,4.96740268202615,137.755698951766,28
2023-01-19,SARI,29,31.5714285714286,71.404947413156,4.98995142331333,137.819943402999,28
2023-01-20,SARI,26,30.7142857142857,71.4406755203785,5.00843348960153,137.872917551156,28
2023-01-21,SARI,20,30.7142857142857,71.4687184973136,5.02283769181799,137.914599302809,28
2023-01-22,SARI,19,28.8571428571429,71.4890644567501,5.03315593155692,137.944972981943,28
2023-01-23,SARI,27,26.8571428571429,71.5017062787512,5.03938321111583,137.964029346387,28
2023-01-24,SARI,22,24.2857142857143,71.5066416181911,5.04151763920416,137.971765597178,28
2023-01-25,SARI,25,24.0,71.5038729065828,5.03956043231497,137.968185380851,28
2023-01-26,SARI,33,24.5714285714286,71.4934073481937,5.03351591175758,137.95329878463,28
2023-01-27,SARI,27,24.7142857142857,71.4752569104599,5.02339149636027,137.92712232456,28
2023-01-28,SARI,23,25.1428571428571,71.449438308718,5.00919769086014,137.889678926576,28
2023-01-29,SARI,29,26.5714285714286,71.4159729852901,4.99094807000811,137.840997900572,28
2023-01-30,SARI,35,27.7142857142857,71.3748870829623,4.96865925842414,137.781114907501,28
2023-01-31,SARI,29,28.7142857142857,71.3262114129137,4.94235090624912,137.710071919578,28
2023-02-01,SARI,30,29.4285714285714,71.2699814171588,4.9120456606472,137.627917173671,28
2023-02-02,SARI,36,29.8571428571429,71.2062371255832,4.87776913322208,137.534705117944,28
2023-02-03,SARI,35,31.0,71.1350231076544,4.83954986341878,137.43049635189,28
2023-02-04,SARI,24,31.1428571428571,71.0563884189093,4.79741927799105,137.315357559827,28
2023-02-05,SARI,30,31.2857142857143,70.9703865423219,4.7514116466234,137.18936143802,28
2023-02-06,SARI,30,30.5714285714286,70.8770753246693,4.70156403380276,137.052586615536,28
2023-02-07,SARI,37,31.7142857142857,70.7765169080214,4.64791624704497,136.905117568998,28
2023-02-08,SARI,29,31.5714285714286,70.6687776564884,4.59051078158583,136.747044531391,28
2023-02-09,SARI,25,30.0,70.5539280783708,4.52939276165589,136.578463395086,28
2023-02-10,SARI,45,31.4285714285714,70.4320427438624,4.46460987846306,136.399475609262,28
2023-02-11,SARI,25,31.5714285714286,70.3032001984649,4.39621232501346,136.210188071916,28
2023-02-12,SARI,31,31.7142857142857,70.1674828722828,4.32425272790853,136.010713016657,28
2023-02-13,SARI,45,33.8571428571429,70.0249769853695,4.24878607625884,135.80116789448,28
2023-02-14,SARI,45,35.0,69.8757724493066,4.16986964786355,135.58167525075,28
2023-02-15,SARI,35,35.8571428571429,69.7199627651997,4.08756293280587,135.352362597593,28
2023-02-16,SARI,43,38.4285714285714,69.5576449182842,4.00192755462127,135.113362281947,28
2023-02-17,SARI,34,36.8571428571429,69.3889192693353,3.91302718919821,134.864811349472,28
2023-02-18,SARI,24,36.7142857142857,69.2138894430836,3.82092748157428,134.606851404593,28
2023-02-19,SARI,36,37.4285714285714,69.0326622138381,3.72569596079307,134.339628466883,28
2023-02-20,SARI,34,35.8571428571429,68.8453473885285,3.62740195299157,134.063292824065,28
2023-02-21,SARI,33,34.1428571428571,68.6520576873715,3.52611649288632,133.777998881857,28
2023-02-22,SARI,37,34.4285714285714,68.4529086223779,3.42191223383175,133.483905010924,28
2023-02-23,SARI,38,33.7142857142857,68.2480183739123,3.31486335662243,133.181173391202,28
2023-02-24,SARI,32,33.4285714285714,68.037507665521,3.20504547721287,132.869969853829,28
2023-02-25,SARI,25,33.5714285714286,67.821499637245,3.09253555352813,132.550463720962,28
2023-02-26,SARI,36,33.5714285714286,67.6001197176327,2.97741179153859,132.222827643727,28
2023-02-27,SARI,36,33.8571428571429,67.3734954946686,2.85975355077097,131.887237438566,28
