date,triage,visit_count,visit_7day_mean,baseline,baseline_lowerbound,baseline_upperbound,ed_count
2022-07-01,1,46,55.1428571428571,60.3612182135433,-10.936595979842,131.659032406929,34
2022-07-02,1,67,55.5714285714286,60.3714855806605,-10.9324117886364,131.675382949958,34
2022-07-03,1,56,55.0,60.381938638062,-10.9281509279696,131.692028204094,34
2022-07-04,1,60,55.7142857142857,60.3925724162429,-10.9238154081541,131.70896024064,34
2022-07-05,1,48,55.5714285714286,60.4033818907594,-10.919407262599,131.726171044118,34
2022-07-06,1,57,58.0,60.4143619835498,-10.9149285473212,131.743652514421,34
2022-07-07,1,47,54.7857142857143,60.4255075642739,-10.9103813404489,131.761396468997,34
2022-07-08,1,49,55.0476190476191,60.4368134516715,-10.9057677417158,131.779394645059,34
2022-07-09,1,54,53.1071428571429,60.4482744149399,-10.9010898719462,131.797638701826,34
2022-07-10,1,55,53.7714285714286,60.4598851751286,-10.8963498725323,131.81612022279,34
2022-07-11,1,42,50.6666666666667,60.4716404065529,-10.891549904902,131.834830718008,34
2022-07-12,1,55,51.4761904761905,60.4835347382248,-10.8866921499784,131.853761626428,34
2022-07-13,1,40,48.9642857142857,60.4955627553019,-10.8817788076303,131.872904318234,34
2022-07-14,1,60,50.7714285714286,60.5077190005532,-10.876812096115,131.892250097221,34
2022-07-15,1,56,51.7380952380952,60.5199979758428,-10.8717942515109,131.911790203197,34
2022-07-16,1,48,50.8571428571429,60.532394143629,-10.8667275271436,131.931515814402,34
2022-07-17,1,49,50.0,60.5449019284814,-10.8616141930018,131.951418049965,34
2022-07-18,1,61,52.7142857142857,60.5575157186132,-10.856456535146,131.971487972372,34
2022-07-19,1,61,53.5714285714286,60.5702298674301,-10.8512568551081,131.991716589968,34
2022-07-20,1,63,56.8571428571429,60.583038695094,-10.8460174692837,132.012094859472,34
2022-07-21,1,65,57.5714285714286,60.5959364901033,-10.8407407083149,132.032613688521,34
2022-07-22,1,59,58.0,60.6089175108863,-10.8354289164668,132.053263938239,34
2022-07-23,1,54,58.8571428571429,60.6219759874113,-10.830084450994,132.074036425817,34
2022-07-24,1,57,60.0,60.6351061228091,-10.8247096815015,132.09492192712,34
2022-07-25,1,56,59.2857142857143,60.6483020950108,-10.8193069892958,132.115911179317,34
2022-07-26,1,60,59.1428571428571,60.6615580583977,-10.8138787667299,132.136994883525,34
2022-07-27,1,45,56.5714285714286,60.674868145466,-10.8084274165398,132.158163707472,34
2022-07-28,1,53,54.8571428571429,60.6882264685025,-10.8029553511746,132.17940828818,34
2022-07-29,1,64,55.5714285714286,60.7016271212738,-10.7974649921185,132.200719234666,34
2022-07-30,1,56,55.8571428571429,60.7150641807269,-10.7919587692061,132.22208713066,34
2022-07-31,1,50,54.8571428571429,60.7285317087011,-10.7864391199312,132.243502537333,34
2022-08-01,1,49,53.8571428571429,60.7420237536511,-10.7809084887484,132.264955996051,34
2022-08-02,1,69,55.1428571428571,60.7555343523807,-10.775369326368,132.286438031129,34
2022-08-03,1,53,56.2857142857143,60.7690575317862,-10.7698240890451,132.307939152618,34
2022-08-04,1,63,57.7142857142857,60.7825873106098,-10.7642752378619,132.329449859082,34
2022-08-05,1,63,57.5714285714286,60.7961177012017,-10.7587252380047,132.350960640408,34
2022-08-06,1,50,56.7142857142857,60.809642711291,-10.7531765580342,132.372461980616,34
2022-08-07,1,54,57.2857142857143,60.8231563457646,-10.7476316691512,132.39394436068,34
2022-08-08,1,53,57.8571428571429,60.8366526084536,-10.7420930444561,132.415398261363,34
2022-08-09,1,48,54.8571428571429,60.8501255039269,-10.7365631582039,132.436814166058,34
2022-08-10,1,42,53.2857142857143,60.8635690392908,-10.7310444850536,132.458182563635,34
2022-08-11,1,48,51.1428571428571,60.8769772259952,-10.7255394993137,132.479493951304,34
2022-08-12,1,53,49.7142857142857,60.8903440816442,-10.7200506741827,132.500738837471,34
2022-08-13,1,57,50.7142857142857,60.9036636318124,-10.7145804809857,132.521907744611,34
2022-08-14,1,61,51.7142857142857,60.916929911865,-10.7091313884069,132.542991212137,34
2022-08-15,1,50,51.2857142857143,60.9301369687812,-10.7037058617187,132.563979799281,34
2022-08-16,1,67,54.0,60.9432788629806,-10.6983063620071,132.584864087968,34
2022-08-17,1,68,57.7142857142857,60.9563496701531,-10.6929353453941,132.6056346857,34
2022-08-18,1,63,59.8571428571429,60.9693434830885,-10.6875952622577,132.626282228435,34
2022-08-19,1,51,59.5714285714286,60.9822544135091,-10.6822885564488,132.646797383467,34
2022-08-20,1,56,59.4285714285714,60.9950765939016,-10.6770176645062,132.667170852309,34
2022-08-21,1,62,59.5714285714286,61.0078041793496,-10.6717850148695,132.687393373569,34
2022-08-22,1,48,59.2857142857143,61.0204313493645,-10.6665930270906,132.70745572582,34
2022-08-23,1,48,56.5714285714286,61.0329523097157,-10.6614441110436,132.727348730475,34
